bidi,class_weight_smoothing,dropout_lstm,embedding_dim,epochs,hidden_dim,n_lstm_layers,runtime,value
true,100.0,0.3,4,60,16,2,2.0456104100012453,0.9315217391304348
false,100.0,0.3,4,60,16,2,1.1970696229982423,0.8760869565217392
true,100.0,0.3,4,60,16,3,2.9028000329999486,0.9163043478260869
false,100.0,0.3,4,60,16,3,1.588621274997422,0.7978260869565217
true,100.0,0.3,4,60,32,2,3.5547267709989683,0.9217391304347826
false,100.0,0.3,4,60,32,2,1.3665320979998796,0.9
true,100.0,0.3,4,60,32,3,5.720546351003577,0.9304347826086956
false,100.0,0.3,4,60,32,3,1.7928170669983956,0.8826086956521739
true,100.0,0.3,6,60,16,2,1.869661549993907,0.9239130434782609
false,100.0,0.3,6,60,16,2,1.106743770003959,0.8945652173913043
true,100.0,0.3,6,60,16,3,2.8165443190009682,0.933695652173913
false,100.0,0.3,6,60,16,3,1.5361499339996953,0.6543478260869565
true,100.0,0.3,6,60,32,2,3.669452383001044,0.9456521739130435
false,100.0,0.3,6,60,32,2,1.385513749999518,0.907608695652174
true,100.0,0.3,6,60,32,3,5.1433435440048925,0.9315217391304348
false,100.0,0.3,6,60,32,3,1.8812156639978639,0.8771739130434782
true,100.0,0.3,8,60,16,2,1.8632314800051972,0.9402173913043478
false,100.0,0.3,8,60,16,2,1.3427002259995788,0.9032608695652173
true,100.0,0.3,8,60,16,3,3.199417274001462,0.9130434782608695
false,100.0,0.3,8,60,16,3,1.62563726100052,0.8326086956521739
true,100.0,0.3,8,60,32,2,4.032030914000643,0.9380434782608695
false,100.0,0.3,8,60,32,2,1.4113528250018135,0.8978260869565218
true,100.0,0.3,8,60,32,3,4.851348408999911,0.9326086956521739
false,100.0,0.3,8,60,32,3,1.941999324997596,0.8771739130434782
true,100.0,0.5,4,60,32,2,3.4194607060053386,0.9358695652173913
true,100.0,0.5,4,60,32,3,4.776417468005093,0.9163043478260869
true,100.0,0.5,6,60,32,2,3.5040875039994717,0.9358695652173913
true,100.0,0.5,6,60,32,3,5.235199663002277,0.9163043478260869
true,100.0,0.5,8,60,32,2,3.659280158004549,0.9423913043478261
true,100.0,0.5,8,60,32,3,5.283482136001112,0.9358695652173913
true,100.0,0.3,4,3,32,2,0.182931107992772,0.2369878183831672
true,100.0,0.3,6,3,32,2,0.1533552629989572,0.25802879291251385
