bidi,class_weight_smoothing,dropout_lstm,embedding_dim,epochs,hidden_dim,n_lstm_layers,runtime,val_acc,val_loss
true,100.0,0.3,4,3,32,2,0.20748551799624693,0.25359911406423036,0.927424430847168
true,100.0,0.3,6,3,32,2,0.189314982999349,0.2591362126245847,0.9216369092464447
true,100.0,0.3,4,10,16,2,0.35683226300170645,0.42857142857142855,0.7003025114536285
true,100.0,0.3,4,10,32,2,0.4681840069970349,0.6389811738648948,0.4505022466182709
true,100.0,0.3,6,10,16,2,0.5565455079922685,0.4883720930232558,0.6323762536048889
true,100.0,0.3,6,10,32,2,0.7816592129966011,0.6622369878183831,0.4310660660266876
true,100.0,0.3,4,5,16,2,0.1961891129903961,0.2646733111849391,0.8560888171195984
true,100.0,0.3,4,5,32,2,0.2314128010038985,0.3532668881506091,0.809634655714035
true,100.0,0.3,6,5,16,2,0.17438742800732143,0.25692137320044295,0.8992797434329987
true,100.0,0.3,6,5,32,2,0.23701392200018745,0.35437430786268,0.78993359208107
